Ranking,Username,Subscribers,Uploads,Views,Country
1,MrBeast,336M,838,"66,853,633,536",US
2,T-Series,281M,"22,313","277,242,795,553",IN
3,Cocomelon-Nursery Rhymes,186M,1370,"194,361,752,276",US
4,Youtube Movies,185M,0,0,
5,Set India,180M,"148,727","172,709,029,653",IN
6,Vlad & Niki,129M,796,"99,291,499,729",US
7,Kids Diana Show,128M,"1,282","108,987,929,584",US
8,Like Nastya,124M,918,"108,128,507,997",US
9,Music,121M,0,0,
10,Zee Music Company,112M,"12,787","72,091,345,721",IN
11,PewDiePie,110M,"4,800","29,453,929,047",JP
12,WWE,106M,"80,964","90,167,179,784",
13,Stokes Twins,102M,335,"16,139,307,959",US
14,Goldmines,101M,"9,421","29,936,365,183",IN
15,Sony SAB,97.7M,"94,136","123,172,828,384",IN
16,Blackpink,95.4M,603,"37,502,831,600",KR
17,ChuChu Tv,94.3M,832,"53,265,415,943",IN
18,Gaming,92.9M,0,0,
19,Zee TV,86.2M,"190,672","97,566,987,807",IN
20,5-Minute Crafts,81.1M,"7,391","27,907,581,110",US
21,BANGTANTY,79.4M,"2,674","24,161,704,347",KR
22,Baby Shark - Pinkfong Kids Song,79.3M,"3,399","47,497,893,810",US
23,Colors TV,77.6M,"179,052","76,490,031,656",IN
24,HYBE LABELS,76.2M,"2,253","37,279,267,924",KR
25,Sports,74.7M,0,0,
26,Justin Bieber,74.4M,249,"33,636,731,466",CA
27,KIMPRO,73.3M,"3,580","56,715,455,039",KR
28,T-Series Bhakti Sagar,72.6M,"29,140","37,185,631,965",IN
29,UR.Cristiano,71.7M,80,"721,228,815",PT
30,A4,71.5M,971,"31,487,602,900",US
31,Tips Official,71M,"6,859","43,171,245,557",IN
32,Shemaroo Filmi Gaane,70.3M,"8,988","30,982,452,123",IN
33,Alan Chikin Chow,70M,"1,413","48,935,762,064",US
34,ZAMZAM ELECTRONIC TRADING,69.4M,"19,224","34,237,265,905",AE
35,Aaj Tak,68.7M,"415,087","35,552,274,523",IN
36,Toys & Colors,68.3M,"1,396","82,391,801,354",US
37,Canal Kondzilla,67.5M,"3,014","38,923,694,296",BR
38,El Reino Infantil,67.1M,"1,667","64,042,650,819",AR
39,Infobells-Hindi,66.8M,731,"39,661,413,683",IN
40,Wave Music,63.7M,"20,481","43,980,109,554",IN
41,EminemMusic,63.4M,196,"32,256,297,282",
42,HAR PAL GEO,62.9M,"152,148","64,184,880,416",PK
43,MovieClips,62.9M,"41,711","64,184,220,639",US
44,Sony Music India,62.9M,"5,941","32,518,871,280",IN
45,YRF,62.9M,"4,333","44,702,357,371",IN
46,KL BRO Biju R ithvik,62.8M,"2,873","54,385,171,265",IN
47,Mark Rober,60.8M,187,"8,956,227,211",US
48,Dude Perfect,60.6M,463,"18,005,895,732",US
49,Taylor Swift,60.4M,285,"37,663,171,636",US
50,Fede Vigevani,60M,"1,435","17,636,583,860",MX
51,ARY Digital HD,59.9M,"155,545","59,355,707,231",PK
52,LooLoo Kids ,59.3M,933,"36,603,603,223",US
53,Billion Surprise Toys,57.6M,"1,221","10,602,947,691",US
54,Marshmello,57.5M,508,"16,389,217,605",US
55,YOLO AVENTURAS,56.5M,"2,655","19,763,801,820",MX
56,Shemaroo ,56.3M,"13,166","25,669,598,984",IN
57,PANDA BOL,55.9M,"1,143","25,243,008,251",IT
58,Alejo lgoa,55.9M,"1,158","20,255,686,758",AR
59,Ed Sheeran,55.6M,538,"33,424,121,267",GB
60,Ariana Grande,55.1M,214,"27,575,337,685",US
61,shripraashant,53.9M,"11,966","3,237,975,581",IN
62,Billie Eilish,53.9M,142,"17,599,708,994",US
63,Get Movies,53.6M,"3,468","34,460,024,944",RU
64,Mikecrack,53.4M,"2,072","19,542,079,629",ES
65,SonyMusicIndiaVEVO,53.2M,"3,688","33,399,550,869",US
66,mashabearrussian,52.5M,"2,009","43,441,258,673",RU
67,Jess No Limit,52.5M,"2,909","6,989,848,318",ID
68,JuegaGerman,51.9M,"2,264","16,190,511,067",CL
69,Topper Guild,50.8M,"1,070","21,072,416,955",US
70,ABS-CBN Entertainment,50.8M,"234,889","56,273,184,883",PH
71,Jiocinema Kids,50.7M,"6,907","24,513,826,985",IN
72,StarPlus,50.4M,"111,513","54,503,268,938",IN
73,Saregama Music,50.1M,"9,550","24,191,394,571",IN
74,LUCCAS NETO - LICCAS TOON,50.1M,"3,028","29,698,114,509",BR
75,Masha and The Bear,50.1M,"1,735","30,139,688,172",US
76,BETER BOCUK,49.9M,"2,915","28,035,715,762",TR
77,Real fools shorts official,49.5M,636,"23,650,395,482",IN
78,Bad Bunny,48.5M,157,"37,198,349,778",PR
79,Fernanfloo,48.1M,547,"10,725,356,823",SV
80,Ricis Official,47.8M,"4,792","8,189,252,100",ID
81,Ishtar Music,47.6M,"4,763","21,233,734,157",IN
82,Badabun,47.6M,"24,021","19,894,897,196",MX
83,shfa2,47.5M,"1,857","30,412,148,805",AE
84,MrBeast2,47.3M,123,"7,045,045,458",US
85,Shakira,47.3M,362,"31,911,521,616",CO
86,Anaya Kandhal,47.1M,"1,921","44,774,905,876",IN
87,shfa ,47.1M,"1,193","27,894,173,800",AE
88,Felipe Neto,46.9M,"5,310","18,221,100,236",BR
89,Dushyant Kukreja,46.7M,"1,334","30,036,326,973",IN
90,ISSEI,46.3M,"3,201","34,528,796,394",JP
91,ABP NEWS,46.3M,"433,181","19,680,955,314",IN
92,Maria Clara & JP,46.2M,916,"30,293,144,508",BR
93,Alan Walker,46.2M,676,"14,996,804,659",NO
94,Kimberly Loaiza,46.1M,314,"6,893,064,959",MX
95,MrBeast Gaming,46M,141,"8,387,527,043",US
96,Alfredo Larin,46M,"1,831","39,518,875,780",SV
97,Voce Sabia,46M,"1,714","8,180,068,059",BR
98,Katy Perry,45.6M,170,"27,616,850,074",US
99,Speed Records,45.5M,"11,880","30,587,436,800",IN
100,Zhong,45.5M,"1,861","17,998,163,730",US
,,,,,
